1/6 22:18:02.009  COMBAT_LOG_VERSION,4,ADVANCED_LOG_ENABLED,1
1/6 22:18:10.053  SPELL_AURA_APPLIED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,207472,"Xavaric's Magnum Opus",0x1,BUFF,1434065
1/6 22:18:10.053  SPELL_AURA_APPLIED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,227723,"Mana Divining Stone",0x1,BUFF
1/6 22:18:10.053  SPELL_AURA_APPLIED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,43308,"Find Fish",0x1,BUFF
1/6 22:18:10.053  SPELL_AURA_APPLIED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,156779,"Neural Silencer",0x1,BUFF
1/6 22:18:10.053  SPELL_AURA_APPLIED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,225604,"Well Fed",0x1,BUFF
1/6 22:18:10.053  SPELL_AURA_APPLIED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,224001,"Defiled Augmentation",0x1,BUFF
1/6 22:18:10.053  SPELL_AURA_APPLIED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,188031,"Flask of the Whispered Pact",0x1,BUFF
1/6 22:18:10.053  SPELL_AURA_APPLIED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,186403,"Sign of Battle",0x1,BUFF
1/6 22:18:10.053  SPELL_AURA_APPLIED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,207472,"Xavaric's Magnum Opus",0x1,BUFF,1434065
1/6 22:18:10.053  SPELL_AURA_APPLIED,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,154797,"Touch of Elune - Night",0x1,BUFF
1/6 22:18:10.053  SPELL_AURA_APPLIED,Player-113-019275E8,"Kistkei-Suramar",0x518,0x0,Player-113-019275E8,"Kistkei-Suramar",0x518,0x0,186403,"Sign of Battle",0x1,BUFF
1/6 22:18:10.053  SPELL_AURA_APPLIED,Player-113-019275E8,"Kistkei-Suramar",0x518,0x0,Player-113-019275E8,"Kistkei-Suramar",0x518,0x0,154797,"Touch of Elune - Night",0x1,BUFF
1/6 22:24:05.071  SPELL_AURA_APPLIED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,207472,"Xavaric's Magnum Opus",0x1,BUFF,1434065
1/6 22:24:05.792  ENCOUNTER_START,1094,"Malygos",3,10
1/6 22:24:05.792  COMBATANT_INFO,Player-47-0781E030,197,242,612,705,0,0,0,133,133,133,0,0,195,195,195,0,23,11,11,11,119,256,(109142,121536,204263,197045,246393),(0),[],[(122250,292,(),(582),()),(122664,292,(),(582),()),(122378,292,(),(582),()),(0,0,(),(),()),(122384,292,(),(582),()),(43164,175,(),(),()),(122256,292,(),(582),()),(113786,300,(),(53),()),(113760,300,(),(19),()),(55255,308,(),(),()),(66890,308,(),(),()),(55276,308,(),(),()),(122361,85,(),(),()),(122362,85,(),(),()),(122262,292,(),(582),()),(122368,292,(),(582),()),(0,0,(),(),()),(0,0,(),(),())],[]
1/6 22:24:05.792  COMBATANT_INFO,Player-47-07C2EF5A,4402,9030,87341,67272,0,0,0,7871,7871,7871,500,1197,7922,7922,7922,1051,12966,4494,4494,4494,2700,105,(102351,102280,197491,132469,200390,155675,197721),(196029,195483,209690,200931,203374,203624),[1335,1,140,4,129,1,132,4,126,1,134,4,136,5,127,1,138,1,133,6,137,7,130,4,135,4,128,1,139,1,131,4,1367,1,1635,1,1513,4,1514,1,1515,1,1516,26,125,1,1195,78,1254,78,1739,3,1774,1,1771,1,1770,1],[(152127,935,(),(3610,1477,3336),()),(132444,1000,(5890,0,0),(1811,3630),(151583,110)),(134452,945,(),(3510,1597,3337),()),(44694,1,(),(),()),(152124,945,(),(3610,1487,3337),()),(151991,930,(),(3610,1472,3528),()),(152282,935,(),(3610,1477,3336),()),(134429,930,(),(3416,1582,3337),()),(137512,945,(),(3509,1597,3337),()),(152126,930,(),(3610,1472,3528),()),(144481,915,(5429,0,0),(3573,1808,40,1567,3336),(151584,110)),(152688,930,(5429,0,0),(3610,41,1472,3528),()),(144258,1000,(),(3459,3630),()),(151956,930,(),(3610,41,1472,3528),()),(152125,930,(5435,0,0),(3610,1472,3528),()),(128306,964,(),(725),(155854,940,152039,930,147107,915)),(0,0,(),(),()),(140667,110,(),(),())],[Player-47-07C2EF5A,207428,Player-47-07C2EF5A,207472,Player-47-07C2EF5A,251814,Player-47-07C2EF5A,251813,Player-47-07C2EF5A,188031,Player-47-07C2EF5A,224001,Player-47-07C2EF5A,225604]
1/6 22:24:08.283  SPELL_CAST_SUCCESS,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,17,"Power Word: Shield",0x2,Player-47-0781E030,0000000000000000,26316,26316,0,705,0,26400,26400,607,741.05,1311.06,262
1/6 22:24:08.283  SPELL_AURA_APPLIED,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,17,"Power Word: Shield",0x2,BUFF,3896,0
1/6 22:24:08.292  SPELL_AURA_APPLIED,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,194384,"Atonement",0x2,BUFF
1/6 22:24:08.568  SPELL_CAST_SUCCESS,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,93402,"Sunfire",0x8,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1100000,1100000,26400,748.23,1315.60,945
1/6 22:24:08.568  SPELL_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164815,"Sunfire",0x8,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,734.16,1281.27,83,5079185,1531185,8,0,0,0,nil,nil,nil
1/6 22:24:08.568  SPELL_AURA_APPLIED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164815,"Sunfire",0x8,DEBUFF
